City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
615,Vanimo,PG,86.47,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
617,Banda Aceh,ID,82.51,overcast clouds,5.5577,95.3222,Sulthan Hotel International
620,Ranong,TH,89.53,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
622,Manokwari,ID,85.39,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
624,Kismayo,SO,80.17,overcast clouds,-0.3582,42.5454,Agan-Hotel
625,Champerico,GT,80.04,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
626,Guanica,PR,78.06,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
627,Lakatoro,VU,82.4,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
629,Khao Wong,TH,89.46,few clouds,16.7001,104.0902,ลำน้ำยังรีสอร์ท
630,Biak,ID,84.06,broken clouds,-0.9131,122.8766,Penginapan Kim
636,Moree,AU,82.42,scattered clouds,-29.4667,149.85,Molika Springs Motel
642,Biltine,TD,75.88,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
644,Codajas,BR,74.53,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
645,Trenggalek,ID,82.38,moderate rain,-8.05,111.7167,OYO 2966 Hotel Atriaz
647,Harindanga,IN,80.58,scattered clouds,22.0383,88.3214,Hasanur Builders
650,Amahai,ID,86.85,few clouds,-3.3333,128.9167,HOTEL ISABELA
656,Santa Ines,BR,75.07,overcast clouds,-3.6667,-45.38,Palace hotel
659,Cusuna,HN,75.07,overcast clouds,15.85,-85.2333,
661,Khed Brahma,IN,83.73,overcast clouds,24.0333,73.05,UMIYA NASTA HOUSE
662,Araouane,ML,74.55,few clouds,18.9048,-3.5265,
664,Cozumel,MX,75.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
665,Kant,IN,74.84,scattered clouds,27.8,79.8,Haseeb Khan shatreng
667,Tiarei,PF,78.82,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
668,Miandrivazo,MG,86.95,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
674,Nalhati,IN,79.61,scattered clouds,24.3,87.8167,JEEVAN DARSHN
675,Celestun,MX,72.99,few clouds,20.8667,-90.4,Posada Lilia
679,Puerto Ayacucho,VE,75.58,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
680,Joroan,PH,83.59,overcast clouds,13.4885,123.6189,Balikbayan Resort
682,Kollam,IN,80.47,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
683,Namatanai,PG,85.95,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
686,Gunnedah,AU,78.42,broken clouds,-30.9833,150.25,Gunnedah Motor Inn
687,Misratah,LY,72.45,scattered clouds,32.3754,15.0925,Almasa Hotel
688,Siocon,PH,87.64,overcast clouds,7.7061,122.1353,ABS Hotel
