City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coihaique,CL,2021-11-15 16:44:02,-45.5752,-72.0662,51.75,43,40,3.44
68,Mount Vernon,US,2021-11-15 16:44:03,40.9126,-73.8371,46.44,69,75,7.0
69,Ravar,IR,2021-11-15 16:44:04,31.2656,56.8055,56.12,27,100,1.48
70,Berezovyy,RU,2021-11-15 16:44:05,51.6667,135.7,8.33,83,14,6.31
71,Whitianga,NZ,2021-11-15 16:44:05,-36.8333,175.7,62.02,87,14,7.67
72,Hongjiang,CN,2021-11-15 16:44:06,27.11,109.9956,58.06,93,100,2.24
73,Dois Corregos,BR,2021-11-15 16:44:06,-22.3661,-48.3803,87.15,27,29,5.97
74,Necochea,AR,2021-11-15 16:43:15,-38.5473,-58.7368,73.04,35,91,7.2
75,Butaritari,KI,2021-11-15 16:44:08,3.0707,172.7902,82.83,71,44,16.11
76,Kysyl-Syr,RU,2021-11-15 16:44:09,63.8986,122.7617,-14.46,100,96,2.89
77,Quepos,CR,2021-11-15 16:43:40,9.4236,-84.1652,94.53,68,14,4.63
78,Hermanus,ZA,2021-11-15 16:44:09,-34.4187,19.2345,69.91,80,89,10.45
79,Fortuna,US,2021-11-15 16:41:04,40.5982,-124.1573,49.12,100,1,0.0
80,Aleksandrov Gay,RU,2021-11-15 16:44:11,50.147,48.5704,31.77,91,98,15.93
81,Touros,BR,2021-11-15 16:44:11,-5.1989,-35.4608,88.7,63,100,16.02
82,Pozhva,RU,2021-11-15 16:44:12,59.0912,56.0847,17.51,90,39,8.68
83,Birecik,TR,2021-11-15 16:44:12,37.0294,37.9903,54.61,33,84,3.65
84,Provideniya,RU,2021-11-15 16:44:13,64.3833,-173.3,15.08,92,58,11.3
85,Flinders,AU,2021-11-15 16:44:14,-34.5833,150.8552,55.8,77,1,1.99
86,Yellowknife,CA,2021-11-15 16:42:36,62.456,-114.3525,8.29,96,20,4.61
