City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Burnie,AU,-41.0667,145.9167,61.7,50,7,11.16,clear sky
80,Negrar,IT,45.5288,10.938,50.79,100,40,2.3,scattered clouds
81,Rock Sound,BS,24.9,-76.2,75.78,69,100,17.02,overcast clouds
82,Sayansk,RU,54.1088,102.1648,30.65,63,100,3.4,overcast clouds
83,Upernavik,GL,72.7868,-56.1549,9.75,74,4,6.13,clear sky
84,Bestobe,KZ,52.4994,73.0975,32.94,39,95,21.09,overcast clouds
85,Ojinaga,MX,29.5667,-104.4167,73.42,32,1,5.75,clear sky
86,Albany,US,42.6001,-73.9662,41.54,76,14,3.58,few clouds
87,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.54,77,100,5.82,overcast clouds
88,Mount Isa,AU,-20.7333,139.5,87.57,55,65,12.66,broken clouds
89,Saint George,US,37.1041,-113.5841,68.34,31,1,8.05,clear sky
90,Chapais,CA,49.7834,-74.8492,40.78,98,100,5.97,overcast clouds
91,New Norfolk,AU,-42.7826,147.0587,68.67,32,11,4.0,few clouds
92,Lakhipur,IN,26.0299,90.3041,73.56,72,91,9.89,overcast clouds
93,Georgetown,MY,5.4112,100.3354,88.9,74,20,3.44,few clouds
94,Scottsbluff,US,41.8666,-103.6672,50.77,52,1,3.0,clear sky
95,Mahebourg,MU,-20.4081,57.7,79.25,78,75,10.36,broken clouds
96,Punta Arenas,CL,-53.15,-70.9167,44.71,70,40,12.66,scattered clouds
97,Severo-Kurilsk,RU,50.6789,156.125,36.59,69,99,23.02,overcast clouds
98,Antofagasta,CL,-23.65,-70.4,60.08,75,34,7.09,scattered clouds
99,Jalu,LY,29.0331,21.5482,64.54,57,0,5.95,clear sky
100,Busselton,AU,-33.65,115.3333,71.1,46,3,7.94,clear sky
101,Nishihara,JP,26.1842,127.7558,76.66,82,90,8.05,mist
102,Barrow,US,71.2906,-156.7887,24.82,68,90,12.66,overcast clouds
103,Waipawa,NZ,-41.4122,175.5153,66.31,70,26,6.35,scattered clouds
104,Aginskoye,RU,51.1,114.53,28.8,55,12,10.16,few clouds
105,Samarai,PG,-10.6167,150.6667,85.33,71,5,14.18,clear sky
106,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,63,75,8.99,broken clouds
107,Sao Filipe,CV,14.8961,-24.4956,77.85,74,100,7.56,overcast clouds
108,Constitucion,CL,-35.3333,-72.4167,54.72,80,4,12.44,clear sky
109,Hirado,JP,33.3597,129.5531,69.15,81,100,25.95,moderate rain
110,Castro,BR,-24.7911,-50.0119,58.62,96,91,6.82,overcast clouds
111,Nantucket,US,41.2835,-70.0995,53.71,79,90,11.5,overcast clouds
112,Casper,US,42.8666,-106.3131,34.39,80,1,4.61,clear sky
113,Iqaluit,CA,63.7506,-68.5145,8.33,84,1,15.99,clear sky
114,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.4,78,82,10.27,broken clouds
115,Santa Marta,CO,11.2408,-74.199,78.85,83,95,3.44,overcast clouds
116,Santa Rosa Del Sur,CO,7.9644,-74.0544,68.22,97,99,3.04,overcast clouds
117,Fairfield,US,41.2668,-73.3162,49.66,72,1,3.44,clear sky
118,Cherskiy,RU,68.75,161.3,1.27,99,94,4.25,overcast clouds
119,Russkaya Polyana,UA,49.417,31.9201,43.75,93,74,7.99,broken clouds
120,Geraldton,AU,-28.7667,114.6,72.01,53,11,16.11,few clouds
121,Sambava,MG,-14.2667,50.1667,77.7,71,44,8.77,scattered clouds
122,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,75,10.36,broken clouds
123,Talnakh,RU,69.4865,88.3972,16.63,96,100,7.38,light snow
124,Rudnogorsk,RU,57.2639,103.7519,31.26,93,100,12.64,light snow
125,Tiksi,RU,71.6872,128.8694,13.89,78,100,25.48,overcast clouds
126,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,90,5.75,light rain
